HomeTeam,AwayTeam
Everton,Chelsea
Fulham,Southampton
Tottenham Hotspur,Liverpool
Manchester City,Everton
Southampton,West Ham United
Newcastle United,Aston Villa
Nottingham Forest,Tottenham Hotspur
Bournemouth,Crystal Palace
Liverpool,Leicester City
Brighton & Hove Albion,Brentford
Arsenal,Ipswich Town
West Ham United,Liverpool
Aston Villa,Leicester City
Brighton & Hove Albion,Arsenal
Ipswich Town,Chelsea
Manchester United,Newcastle United
Tottenham Hotspur,Newcastle United
Fulham,Manchester United
Liverpool,Manchester United
Wolverhampton Wanderers,Nottingham Forest
West Ham United,Fulham
Everton,Aston Villa
Ipswich Town,Brighton & Hove Albion
Arsenal,Tottenham Hotspur
Manchester United,Southampton
Newcastle United,Bournemouth
Arsenal,Aston Villa
Everton,Tottenham Hotspur
Manchester United,Brighton & Hove Albion
Manchester City,Chelsea
Chelsea,Wolverhampton Wanderers
Bournemouth,Nottingham Forest
Crystal Palace,Brentford
Tottenham Hotspur,Leicester City
Aston Villa,West Ham United
Manchester United,Crystal Palace
Arsenal,Manchester City
Ipswich Town,Tottenham Hotspur
Wolverhampton Wanderers,Fulham
Brentford,Everton
Arsenal,Chelsea
Tottenham Hotspur,Southampton
Aston Villa,Nottingham Forest
Aston Villa,Newcastle United
West Ham United,Southampton
Wolverhampton Wanderers,Brighton & Hove Albion
West Ham United,Tottenham Hotspur
Arsenal,Bournemouth
Crystal Palace,Wolverhampton Wanderers
Bournemouth,Aston Villa
Arsenal,Newcastle United
